Filename,Step,Neutron Flux,Neutron Flux Change,
specific_data_87.npz,999,3.44458560731297e-05,-4.34E-05,-8.94349E-06
specific_data_88.npz,999,1.6118184525291637e-05,-2.04E-05,-4.25198E-06
specific_data_89.npz,999,1.0241908478215169e-05,-1.30E-05,-2.71668E-06
specific_data_90.npz,999,0.075849067,-0.085350183,-0.009501116
specific_data_91.npz,999,0.030326456384994132,-0.036456824,-0.006130368
specific_data_92.npz,999,6.880918687063768e-05,-8.62E-05,-1.74067E-05
specific_data_93.npz,999,2.1361803225257595e-05,-2.70E-05,-5.60871E-06
specific_data_94.npz,999,1.2228483696115952e-05,-1.55E-05,-3.23754E-06
specific_data_95.npz,999,0.000524214,-0.000663375,-0.000139161
specific_data_96.npz,999,0.001786636,-0.002256585,-0.000469949
specific_data_97.npz,999,0.000813111,-0.000971101,-0.00015799
specific_data_98.npz,999,3.1599902814882756e-05,-3.98E-05,-8.22406E-06
specific_data_99.npz,999,1.5162577703466875e-05,-1.92E-05,-4.00343E-06
specific_data_100.npz,999,7.93701156792557e-05,-9.93E-05,-1.99328E-05
specific_data_101.npz,999,2.3436501044941835e-05,-2.96E-05,-6.14215E-06
specific_data_102.npz,999,1.3308561807937139e-05,-1.68E-05,-3.51992E-06
specific_data_103.npz,999,9.089017694578145e-06,-1.15E-05,-2.41352E-06
specific_data_104.npz,999,6.77769331354792e-06,-8.58E-06,-1.8038E-06
specific_data_105.npz,999,0.001670448,-0.001948409,-0.000277961
specific_data_106.npz,999,3.509151579763792e-05,-4.42E-05,-9.10629E-06
specific_data_107.npz,999,1.6561753667460735e-05,-2.09E-05,-4.36722E-06
specific_data_108.npz,999,1.056178575595182e-05,-1.34E-05,-2.80067E-06
specific_data_109.npz,999,7.599537553794413e-06,-9.62E-06,-2.02091E-06
specific_data_110.npz,999,0.030771477676672362,-0.036923691,-0.006152213
specific_data_111.npz,999,6.910503737865956e-05,-8.66E-05,-1.74779E-05
specific_data_112.npz,999,2.1899677831016025e-05,-2.76E-05,-5.74719E-06
specific_data_113.npz,999,1.259899236371737e-05,-1.59E-05,-3.33447E-06
specific_data_114.npz,999,8.645922271098072e-06,-1.09E-05,-2.29685E-06
specific_data_115.npz,999,0.002169474,-0.002736395,-0.000566921
specific_data_116.npz,999,0.000662861,-0.000796345,-0.000133484
specific_data_117.npz,999,3.225199321403469e-05,-4.06E-05,-8.3892E-06
specific_data_118.npz,999,1.560125988585795e-05,-1.97E-05,-4.11759E-06
specific_data_119.npz,999,1.0023314362884008e-05,-1.27E-05,-2.65926E-06
specific_data_120.npz,999,0.008229323,-0.010310189,-0.002080866
specific_data_121.npz,999,0.032954768,-0.039375444,-0.006420677
specific_data_122.npz,999,6.068999053735277e-05,-7.61E-05,-1.54421E-05
specific_data_123.npz,999,2.0464477264495478e-05,-2.58E-05,-5.37743E-06
specific_data_124.npz,999,1.191804131292278e-05,-1.51E-05,-3.15628E-06
specific_data_125.npz,999,0.000560028,-0.000708589,-0.00014856
specific_data_126.npz,999,0.018819651,-0.022852628,-0.004032977
specific_data_127.npz,999,0.000113825,-0.000141793,-2.79674E-05
specific_data_128.npz,999,2.4587794089432892e-05,-3.10E-05,-6.43726E-06
specific_data_129.npz,999,1.3262547538717424e-05,-1.68E-05,-3.50785E-06
specific_data_130.npz,999,0.000315305,-0.000399207,-8.39016E-05
specific_data_131.npz,999,0.004131835,-0.005206126,-0.001074291
specific_data_132.npz,999,0.089687024,-0.097043752,-0.007356728
specific_data_133.npz,999,3.9164592154188984e-05,-4.93E-05,-1.01293E-05
specific_data_134.npz,999,1.6784718173051526e-05,-2.12E-05,-4.42505E-06
specific_data_135.npz,999,0.000240963,-0.000305105,-6.41415E-05
specific_data_136.npz,999,0.000623963,-0.000789258,-0.000165296
specific_data_137.npz,999,0.034832417,-0.041730984,-0.006898567
specific_data_138.npz,999,9.414882315023234e-05,-0.000117564,-2.34155E-05
specific_data_139.npz,999,2.282750967497877e-05,-2.88E-05,-5.98567E-06
specific_data_140.npz,999,0.000198963,-0.000251925,-5.29624E-05
specific_data_141.npz,999,0.000327499,-0.000414637,-8.71379E-05
specific_data_142.npz,999,0.002204332,-0.002786026,-0.000581694
specific_data_143.npz,999,0.19663856299459478,-0.19222914,0.004409423
specific_data_144.npz,999,3.557225526453493e-05,-4.48E-05,-9.2272E-06
specific_data_145.npz,999,0.00016882,-0.000213758,-4.49385E-05
specific_data_146.npz,999,0.000245368,-0.000310682,-6.53136E-05
specific_data_147.npz,999,0.000716599,-0.000906044,-0.000189445
specific_data_148.npz,999,0.018981052237547587,-0.023234914,-0.004253862
specific_data_149.npz,999,7.931039532376511e-05,-9.92E-05,-1.9918E-05
specific_data_150.npz,999,0.002228753,-0.002816628,-0.000587875
specific_data_151.npz,999,0.12042060836088594,-0.126121855,-0.005701247
specific_data_152.npz,999,3.984241416737239e-05,-5.01E-05,-1.0299E-05
specific_data_153.npz,999,1.7258065677900977e-05,-2.18E-05,-4.54788E-06
specific_data_154.npz,999,1.0707375401660501e-05,-1.35E-05,-2.83886E-06
specific_data_155.npz,999,0.000766146,-0.000968439,-0.000202293
specific_data_156.npz,999,0.022309749286973476,-0.027176483,-0.004866734
specific_data_157.npz,999,9.356773428032707e-05,-0.000116847,-2.32796E-05
specific_data_158.npz,999,2.3407434556687616e-05,-2.95E-05,-6.13461E-06
specific_data_159.npz,999,1.2898235878312353e-05,-1.63E-05,-3.41268E-06
specific_data_160.npz,999,0.00035537,-0.000449905,-9.45349E-05
specific_data_161.npz,999,0.001699848,-0.002149729,-0.00044988
specific_data_162.npz,999,0.19387742980806577,-0.18207061,0.01180682
specific_data_163.npz,999,3.6267740672879613e-05,-4.57E-05,-9.40226E-06
specific_data_164.npz,999,1.620565667042176e-05,-2.05E-05,-4.27468E-06
specific_data_165.npz,999,0.00025763,-0.000326207,-6.85761E-05
specific_data_166.npz,999,0.000933626,-0.001179195,-0.000245569
specific_data_167.npz,999,0.016868521,-0.020678957,-0.003810435
specific_data_168.npz,999,7.931029967420498e-05,-9.92E-05,-1.9918E-05
specific_data_169.npz,999,2.177129737705776e-05,-2.75E-05,-5.71408E-06
specific_data_170.npz,999,0.00021112,-0.000267319,-5.61985E-05
specific_data_171.npz,999,0.000372354,-0.000471395,-9.9041E-05
specific_data_172.npz,999,0.001498449,-0.001895363,-0.000396914
specific_data_173.npz,999,0.010048821,-0.010861443,-0.000812623
