simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.200000000000000000e+01,1.037185929648241256e+01,1.364401347205700586e+06,4.374788398511277512e+06,2.659311006341769826e+06,1.879977031533753732e+06,1.024358584885361779e+05,2.574958153233775738e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.300000000000000000e+01,1.123618090452261242e+01,1.588167108708436834e+06,5.065887279425801709e+06,3.018655035370065831e+06,2.091724598672751570e+06,1.115242398308301490e+05,2.792578034712314548e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.400000000000000000e+01,1.210050251256281406e+01,1.828241137923713308e+06,5.801575271591175348e+06,3.390200545040607452e+06,2.305311550156083424e+06,1.205851133821282419e+05,3.009503521535340769e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.500000000000000000e+01,1.296482412060301392e+01,2.084422622387277661e+06,6.580502832793713547e+06,3.772484055742650758e+06,2.520064990996466018e+06,1.296013463602840202e+05,3.225181233825719391e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.600000000000000000e+01,1.382914572864321556e+01,2.356610358187260106e+06,7.401684484833529219e+06,4.164442211634406354e+06,2.735704042386449408e+06,1.385923633511376393e+05,3.440402866280009766e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.700000000000000000e+01,1.469346733668341720e+01,2.644649674082091078e+06,8.263972352105093189e+06,4.564969572856852785e+06,2.951865859148235526e+06,1.475521664119758643e+05,3.654852848551751958e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.800000000000000000e+01,1.555778894472361706e+01,2.948382412452286109e+06,9.166228617805749178e+06,4.973054297080121934e+06,3.168250691881014500e+06,1.564767849309350713e+05,3.868414380813475145e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.900000000000000000e+01,1.642211055276381870e+01,3.267646966004653368e+06,1.010732536988104135e+07,5.387769297918866388e+06,3.384609031127149705e+06,1.653631918280760874e+05,4.081018952546981018e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+01,1.728643216080401857e+01,3.602278315353475977e+06,1.108614445392508432e+07,5.808264245998020284e+06,3.600731383348614443e+06,1.742088021641538071e+05,4.292609924888308888e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.100000000000000000e+01,1.815075376884422198e+01,3.952108067474161740e+06,1.210157733288351074e+07,6.233758332621454261e+06,3.816440140493182000e+06,1.830112413449873275e+05,4.503133724923881528e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.200000000000000000e+01,1.901507537688442184e+01,4.316964495020437054e+06,1.315252495339852571e+07,6.663533723596250638e+06,4.031583114995278418e+06,1.917682381201902172e+05,4.712537724104700465e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.300000000000000000e+01,1.987939698492462171e+01,4.696672576490794308e+06,1.423789761862575077e+07,7.096929637643720023e+06,4.246028399613508023e+06,2.004775753475178499e+05,4.920769734658485686e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.400000000000000000e+01,2.074371859296482512e+01,5.091054037224316970e+06,1.535661486734305508e+07,7.533336990053944290e+06,4.459660281158621423e+06,2.091370674950982793e+05,5.127777897614801623e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.500000000000000000e+01,2.160804020100502498e+01,5.499927391201699153e+06,1.650760535916559771e+07,7.972193547875578515e+06,4.672375992573709227e+06,2.177445505187332164e+05,5.333510665564428200e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.600000000000000000e+01,2.247236180904522485e+01,5.923107983626929112e+06,1.768980676568414643e+07,8.412979548033474013e+06,4.884083131905611604e+06,2.262978774656697351e+05,5.537916808284886793e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.700000000000000000e+01,2.333668341708542471e+01,6.360408034270944074e+06,1.890216566736093163e+07,8.855213734384458512e+06,5.094697611769813113e+06,2.347949167271570186e+05,5.740945423833365930e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.800000000000000000e+01,2.420100502512562812e+01,6.811636681572236121e+06,2.014363745605057850e+07,9.298449773902067915e+06,5.304142030804142356e+06,2.432335515150823048e+05,5.942545950893850386e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.900000000000000000e+01,2.506532663316582799e+01,7.276600027508862317e+06,2.141318624305926263e+07,9.742273015965649858e+06,5.512344380795351230e+06,2.516116799031406408e+05,6.142668181357003050e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.000000000000000000e+01,2.592964824120602785e+01,7.755101183276182041e+06,2.270978477269989625e+07,1.018629756215387397e+07,5.719237020813831128e+06,2.599272151271859184e+05,6.341262272883893456e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.100000000000000000e+01,2.679396984924623126e+01,8.246940315816780552e+06,2.403241434132732451e+07,1.063016361704020575e+07,5.924755863733212464e+06,2.681780860033629579e+05,6.538278761391555599e+04
