800,857.5
740.316,858.743
740.631,859.986
740.947,861.229
741.263,862.472
741.578,863.714
741.894,864.957
742.209,866.198
742.524,867.439
742.839,868.68
743.154,869.919
743.469,871.158
743.783,872.396
744.097,873.633
744.411,874.87
744.725,876.105
745.038,877.339
745.351,878.571
745.664,879.803
745.977,881.033
746.289,882.261
746.6,883.488
746.911,884.714
747.222,885.937
747.532,887.159
747.842,888.379
748.152,889.597
748.461,890.813
748.769,892.027
749.077,893.239
749.384,894.449
749.69,895.656
749.997,896.861
750.302,898.064
750.607,899.264
750.911,900.461
751.214,901.656
751.517,902.848
751.819,904.037
752.12,905.223
752.421,906.407
752.72,907.587
753.019,908.764
753.318,909.938
753.615,911.108
753.911,912.276
754.207,913.44
754.502,914.6
754.795,915.757
755.088,916.91
755.38,918.06
755.671,919.205
755.961,920.347
756.25,921.485
756.538,922.619
756.825,923.749
757.111,924.875
757.396,925.997
757.68,927.114
757.962,928.227
758.244,929.336
758.524,930.44
758.804,931.539
759.082,932.634
759.359,933.725
759.634,934.81
759.909,935.891
760.182,936.967
760.454,938.038
760.725,939.103
760.994,940.164
761.262,941.22
761.529,942.27
761.794,943.315
762.058,944.355
762.321,945.39
762.582,946.418
762.842,947.442
763.101,948.46
763.358,949.472
763.613,950.478
763.868,951.479
764.12,952.473
764.371,953.462
764.621,954.445
764.869,955.422
765.116,956.392
765.36,957.357
765.604,958.315
765.846,959.267
766.086,960.213
766.324,961.152
766.561,962.085
766.796,963.011
767.03,963.931
767.262,964.844
767.492,965.75
767.721,966.65
767.947,967.543
768.172,968.429
768.396,969.308
768.617,970.18
768.837,971.045
769.055,971.903
769.271,972.754
769.485,973.598
769.698,974.434
769.908,975.264
770.117,976.085
770.324,976.9
770.529,977.707
770.732,978.506
770.933,979.298
771.132,980.083
771.329,980.86
771.525,981.629
771.718,982.39
771.909,983.144
772.099,983.889
772.286,984.627
772.472,985.357
772.655,986.079
772.836,986.793
773.016,987.499
773.193,988.197
773.368,988.887
773.541,989.568
773.712,990.241
773.881,990.906
774.048,991.563
774.212,992.211
774.375,992.851
774.535,993.483
774.694,994.106
774.85,994.72
775.003,995.326
775.155,995.924
775.305,996.512
775.452,997.092
775.597,997.664
775.74,998.226
775.881,998.78
776.019,999.325
776.155,999.862
776.289,1000.39
776.421,1000.91
776.55,1001.42
776.678,1001.92
776.802,1002.41
776.925,1002.89
777.045,1003.37
777.163,1003.83
777.279,1004.28
777.392,1004.73
777.503,1005.17
777.612,1005.6
777.718,1006.01
777.822,1006.42
777.923,1006.82
778.023,1007.21
778.12,1007.6
778.214,1007.97
778.306,1008.33
778.396,1008.68
778.483,1009.03
778.568,1009.36
778.651,1009.69
778.731,1010
778.808,1010.31
778.884,1010.6
778.957,1010.89
779.027,1011.17
779.095,1011.44
779.161,1011.69
779.224,1011.94
779.284,1012.18
779.343,1012.41
779.398,1012.63
779.452,1012.84
779.503,1013.04
779.551,1013.23
779.597,1013.41
779.64,1013.58
779.681,1013.75
779.72,1013.9
779.756,1014.04
779.79,1014.17
779.821,1014.29
779.849,1014.41
779.875,1014.51
779.899,1014.6
779.92,1014.69
779.939,1014.76
779.955,1014.82
779.969,1014.88
779.98,1014.92
779.989,1014.96
779.995,1014.98
779.999,1015
780,1015
